slug,image_type,path,format,alt_text,license,source,note
hyaluronic-acid,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
igf-1-lr3,grade_card,images/grade-cards/igf-1-lr3.svg,svg,"Evidence-grade card for IGF-1 LR3 (Long R3 IGF-1). Overall grade D. Per-outcome — Muscle hypertrophy + hyperplasia via IGF-1R (the biology): not graded; IGF-1 LR3 for muscle building in humans (the marketed use): F; Hyperplasia in humans specifically: D; Native IGF-1 (mecasermin) — pediatric IGF-1 deficiency: not graded; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
igf-1-lr3,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
ipamorelin,grade_card,images/grade-cards/ipamorelin.svg,svg,"Evidence-grade card for Ipamorelin. Overall grade B. Per-outcome — Selective GH release (no cortisol/prolactin) in humans: B; Clinical efficacy (postoperative ileus — the only tested indication): D; Anti-aging / fat loss / muscle (the popular use): F; Safety: not graded. Based on 3 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ipamorelin,structure,images/structures/ipamorelin.svg,svg,"2D chemical structure of Ipamorelin (C38H49N9O5), molecular weight 711.9 g/mol, 52 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
kisspeptin-10,grade_card,images/grade-cards/kisspeptin-10.svg,svg,"Evidence-grade card for Kisspeptin-10 (KP-10). Overall grade B. Per-outcome — Stimulating the reproductive axis (LH/FSH release): B; IVF / egg-maturation triggering: B; Hypoactive sexual desire disorder (HSDD) — arousal/attraction: C; Idiopathic hypogonadotropic hypogonadism / hypothalamic amenorrhea: C; ""PCT / natural-testosterone restart"" (the bodybuilding use): F; Safety: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
kisspeptin-10,sequence_card,images/structures/kisspeptin-10.svg,svg,"Data card for Kisspeptin-10 (KP-10): peptide, molecular formula C63H83N17O14, 94 heavy atoms, molecular weight 1302.5 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (94 heavy atoms > 70) — schematic card, not a 2D depiction"
kojic-acid,grade_card,images/grade-cards/kojic-acid.svg,svg,"Evidence-grade card for Kojic Acid. Overall grade C. Per-outcome — Hyperpigmentation / melasma (appearance, usually in combination): C; PIH (appearance, in combination serums): C; Tyrosinase inhibition (mechanism / in-vitro potency): B; Standalone / EU-compliant-strength efficacy: C; Tolerability & stability: not graded. Based on 4 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
kojic-acid,structure,images/structures/kojic-acid.svg,svg,"2D chemical structure of Kojic Acid (C6H6O4), molecular weight 142.1 g/mol, 10 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
kpv,grade_card,images/grade-cards/kpv.svg,svg,"Evidence-grade card for KPV. Overall grade C. Per-outcome — Anti-inflammatory / colitis / IBD (preclinical): C; PepT1 / NF-κB mechanism: not graded; Human use (IBD, dermatitis, gut healing — the marketed use): F; Antimicrobial (S. aureus, C. albicans): D; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
kpv,structure,images/structures/kpv.svg,svg,"2D chemical structure of KPV (C11H12O3), molecular weight 192.2 g/mol, 14 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
larazotide,grade_card,images/grade-cards/larazotide.svg,svg,"Evidence-grade card for Larazotide (AT-1001, Larazotide Acetate). Overall grade B. Per-outcome — Celiac disease (the lead, best-studied use): D; Tight-junction / permeability mechanism: C; ""Leaky gut"" / general gut health (the gray-market pitch): F; Adjacent indications (MIS-C, intestinal ischemia): F; Safety: B. Based on 4 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
larazotide,structure,images/structures/larazotide.svg,svg,"2D chemical structure of Larazotide (AT-1001, Larazotide Acetate) (C32H55N9O10), molecular weight 725.8 g/mol, 51 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
liraglutide,grade_card,images/grade-cards/liraglutide.svg,svg,"Evidence-grade card for Liraglutide. Overall grade A. Per-outcome — Type-2 diabetes glycemic control: A; Chronic weight management (obesity): A; Cardiovascular risk reduction (T2D + CVD): A; Pediatric obesity (adolescents 12+): A; Safety: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
liraglutide,sequence_card,images/structures/liraglutide.svg,svg,"Data card for Liraglutide: peptide, molecular formula C172H265N43O51, 266 heavy atoms, molecular weight 3751.3 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (266 heavy atoms > 70) — schematic card, not a 2D depiction"
ll-37,grade_card,images/grade-cards/ll-37.svg,svg,"Evidence-grade card for LL-37 (Cathelicidin). Overall grade A. Per-outcome — Endogenous antimicrobial defense: A; Exogenous wound healing / antimicrobial therapy (the marketed use): D; Role in rosacea (as a cause): A; Role in psoriasis / lupus (as a cause): A; Safety of exogenous administration: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
ll-37,sequence_card,images/structures/ll-37.svg,svg,"Data card for LL-37 (Cathelicidin): peptide, molecular formula C205H340N60O53, 318 heavy atoms, molecular weight 4493.3 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (318 heavy atoms > 70) — schematic card, not a 2D depiction"
matrixyl,grade_card,images/grade-cards/matrixyl.svg,svg,"Evidence-grade card for Matrixyl (Palmitoyl Pentapeptide-4). Overall grade B. Per-outcome — Topical: appearance of photoaged skin (fine lines, wrinkle depth, roughness): B; ECM synthesis in vitro (collagen I/III, fibronectin, HA; MMP-1↓, TIMP-1↑): B; Comparable to retinol: C; Skin penetration at cosmetic doses: not graded; Safety (topical): not graded. Based on 5 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
matrixyl,structure,images/structures/matrixyl.svg,svg,"2D chemical structure of Matrixyl (Palmitoyl Pentapeptide-4) (C39H75N7O10), molecular weight 802.1 g/mol, 56 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
mazdutide,grade_card,images/grade-cards/mazdutide.svg,svg,"Evidence-grade card for Mazdutide (IBI362 / LY3305677). Overall grade A. Per-outcome — Weight loss (obesity, no diabetes): A; Glycemic control (T2D): A; Visceral / hepatic fat: B; Cardiometabolic risk factors (BP, lipids, waist): B; Safety / tolerability: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
mazdutide,sequence_card,images/structures/mazdutide.svg,svg,"Data card for Mazdutide (IBI362 / LY3305677): peptide, molecular formula C207H317N45O65, 317 heavy atoms, molecular weight 4476.1 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (317 heavy atoms > 70) — schematic card, not a 2D depiction"
melanotan-ii,grade_card,images/grade-cards/melanotan-ii.svg,svg,"Evidence-grade card for Melanotan II. Overall grade C. Per-outcome — Skin tanning (the marketed use): C; Erectile / arousal effect: C; ""Safe sunless tanning"" claim: F; Safety / serious adverse events: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
melanotan-ii,sequence_card,images/structures/melanotan-ii.svg,svg,"Data card for Melanotan II: peptide, molecular formula C50H69N15O9, 74 heavy atoms, molecular weight 1024.2 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (74 heavy atoms > 70) — schematic card, not a 2D depiction"
mgf,grade_card,images/grade-cards/mgf.svg,svg,"Evidence-grade card for MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec). Overall grade D. Per-outcome — Satellite-cell (muscle stem-cell) activation / proliferation: D; Muscle repair / hypertrophy (the marketed use): F; Aged-muscle / regeneration: F; PEG-MGF as a practical agent: not graded; Safety: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
mgf,structure,images/structures/mgf.svg,svg,"2D chemical structure of MGF / PEG-MGF (Mechano Growth Factor, IGF-1Ec) (F3Mg-), molecular weight 81.3 g/mol, 4 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
mk-677,grade_card,images/grade-cards/mk-677.svg,svg,"Evidence-grade card for MK-677 (Ibutamoren). Overall grade B. Per-outcome — GH / IGF-1 elevation: B; Slow-wave (deep) sleep: B; Fat-free (lean) mass: C; Anti-aging / physique / strength (the popular use): F; Failed / halted indications: not graded; Safety: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
mk-677,structure,images/structures/mk-677.svg,svg,"2D chemical structure of MK-677 (Ibutamoren) (C28H40N4O8S2), molecular weight 624.8 g/mol, 42 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
mots-c,grade_card,images/grade-cards/mots-c.svg,svg,"Evidence-grade card for MOTS-c. Overall grade C. Per-outcome — Insulin sensitivity / glucose metabolism / metabolic homeostasis: C; Exercise-mimetic / physical capacity: D; Aging / healthspan: D; Marketed ""anti-aging / metabolic fix"" in humans: F; Safety & long-term: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
mots-c,sequence_card,images/structures/mots-c.svg,svg,"Data card for MOTS-c: peptide, molecular formula C101H152N28O22S2, 153 heavy atoms, molecular weight 2174.6 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (153 heavy atoms > 70) — schematic card, not a 2D depiction"
nad-plus,grade_card,images/grade-cards/nad-plus.svg,svg,"Evidence-grade card for NAD+ (and its precursors NMN / NR). Overall grade A. Per-outcome — Raising NAD⁺ levels (the biomarker): A; Physical function / muscle / strength (healthy older adults): F; Metabolic health (general): D; Specific clinical populations (prediabetes ♀, early Parkinson's, PAD): C; Longevity / lifespan (humans): F; Safety: B. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
nad-plus,structure,images/structures/nad-plus.svg,svg,"2D chemical structure of NAD+ (and its precursors NMN / NR) (C21H27N7O14P2), molecular weight 663.4 g/mol, 44 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
naringenin,grade_card,images/grade-cards/naringenin.svg,svg,"Evidence-grade card for Naringenin. Overall grade B. Per-outcome — Topical: anti-oxidative barrier protection: B; Topical: MMP-1 suppression / anti-photoaging (mechanism): B; Anti-inflammatory (skin senescence / inflammaging mechanism): B; Visible anti-aging / inflammaging (finished product): C; Pigmentation / melanogenesis (in-vitro): C; Safety (topical): not graded. Based on 6 cited sources, 3 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
naringenin,structure,images/structures/naringenin.svg,svg,"2D chemical structure of Naringenin (C15H12O5), molecular weight 272.3 g/mol, 20 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
niacinamide,grade_card,images/grade-cards/niacinamide.svg,svg,"Evidence-grade card for Niacinamide (Vitamin B3). Overall grade A. Per-outcome — Topical: hyperpigmentation (melasma, PIH, age spots) at 2–5%: A; Barrier function / TEWL (2–5%): A; Fine lines and appearance of photoaging (5–6%): B; Sebum/oiliness reduction (2–4%): B; Acne vulgaris (topical 4%): B; Systemic / oral high-dose ""anti-aging"" claims: D; Safety (topical): not graded. Based on 6 cited sources, 4 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
niacinamide,structure,images/structures/niacinamide.svg,svg,"2D chemical structure of Niacinamide (Vitamin B3) (C6H6N2O), molecular weight 122.1 g/mol, 9 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
noopept,grade_card,images/grade-cards/noopept.svg,svg,"Evidence-grade card for Noopept (Omberacetam). Overall grade B. Per-outcome — Cognitive impairment / MCI (vascular, traumatic — approved Russian use): C; BDNF/NGF & neuroprotection mechanism: B; Cognitive enhancement in healthy adults (the popular use): D; Anti-amyloid / Alzheimer's: D; Anxiolytic: D; Safety: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
noopept,structure,images/structures/noopept.svg,svg,"2D chemical structure of Noopept (Omberacetam) (C17H22N2O4), molecular weight 318.4 g/mol, 23 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
orforglipron,grade_card,images/grade-cards/orforglipron.svg,svg,"Evidence-grade card for Orforglipron. Overall grade B. Per-outcome — Weight loss (obesity): B; Type-2 diabetes glycemic control: B; Weight maintenance after injectables: B; Manufacturing / access advantage: not graded; Safety: not graded. Based on 3 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
orforglipron,structure,images/structures/orforglipron.svg,svg,"2D chemical structure of Orforglipron (C48H48F2N10O5), molecular weight 883.0 g/mol, 65 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
oxytocin,grade_card,images/grade-cards/oxytocin.svg,svg,"Evidence-grade card for Oxytocin. Overall grade A. Per-outcome — Labor induction / uterotonic / postpartum hemorrhage (the approved use): A; Lactation / milk let-down: B; Social bonding / trust / empathy (healthy people — the ""love hormone"" claims): D; Autism spectrum disorder (social deficits): D; PTSD / anxiety / addiction / social anxiety: F; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
oxytocin,structure,images/structures/oxytocin.svg,svg,"2D chemical structure of Oxytocin (C43H66N12O12S2), molecular weight 1007.2 g/mol, 69 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
palmitoyl-tripeptide-1-5,grade_card,images/grade-cards/palmitoyl-tripeptide-1-5.svg,svg,"Evidence-grade card for Palmitoyl Tripeptide-1 & Palmitoyl Tripeptide-5. Overall grade C. Per-outcome — Topical: appearance of fine lines / firmness — Palmitoyl Tripeptide-1: C; Topical: appearance — Palmitoyl Tripeptide-5 (SYN-COLL): C; Collagen / ECM stimulation (both): C; Safety (both, topical): not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
palmitoyl-tripeptide-1-5,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
pdrn,grade_card,images/grade-cards/pdrn.svg,svg,"Evidence-grade card for PDRN (Polydeoxyribonucleotide). Overall grade C. Per-outcome — Topical cosmetic serum — soothing, hydration, barrier comfort: C; Topical ""regeneration / rejuvenation"" (as marketed for salmon-DNA serums): D; Injected PDRN (clinical / aesthetic, in-office) — for context, NOT cosmetic scope: not graded. Based on 3 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
pdrn,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
pemvidutide,grade_card,images/grade-cards/pemvidutide.svg,svg,"Evidence-grade card for Pemvidutide. Overall grade B. Per-outcome — MASH (the lead indication): C; Weight loss / obesity: B; Lean-mass preservation (the standout): B; Cardiometabolic (lipids, BP, liver fat): B; AUD / alcohol liver disease: not graded; Safety: B. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
pemvidutide,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
petrelintide,grade_card,images/grade-cards/petrelintide.svg,svg,"Evidence-grade card for Petrelintide. Overall grade A. Per-outcome — Weight loss / obesity: B; Tolerability (the differentiator): A; Combination therapy (with CT-388): not graded; Type 2 diabetes (ZUPREME-2): not graded; Lean-mass preservation: C; Safety: B. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
petrelintide,sequence_card,images/structures/petrelintide.svg,svg,"Data card for Petrelintide: peptide, molecular formula C185H305N49O61, 295 heavy atoms, molecular weight 4191.8 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (295 heavy atoms > 70) — schematic card, not a 2D depiction"
pramlintide,grade_card,images/grade-cards/pramlintide.svg,svg,"Evidence-grade card for Pramlintide (Symlin). Overall grade A. Per-outcome — Glycemic control — mealtime-insulin adjunct (T1D & T2D): A; Weight (in diabetes / obesity): C; Postprandial glucose / glucagon suppression: B; Cardiometabolic biomarkers (lipids, BP): C; Safety / tolerability: not graded. Based on 5 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
pramlintide,sequence_card,images/structures/pramlintide.svg,svg,"Data card for Pramlintide (Symlin): peptide, molecular formula C171H267N51O53S2, 277 heavy atoms, molecular weight 3949.5 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (277 heavy atoms > 70) — schematic card, not a 2D depiction"
pt-141,grade_card,images/grade-cards/pt-141.svg,svg,"Evidence-grade card for PT-141 (Bremelanotide). Overall grade B. Per-outcome — HSDD in premenopausal women (approved): B; Erectile dysfunction (men, off-label): C; General libido / arousal (both sexes, gray market): D; Safety: not graded. Based on 4 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
pt-141,sequence_card,images/structures/pt-141.svg,svg,"Data card for PT-141 (Bremelanotide): peptide, molecular formula C50H68N14O10, 74 heavy atoms, molecular weight 1025.2 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (74 heavy atoms > 70) — schematic card, not a 2D depiction"
rapamycin,grade_card,images/grade-cards/rapamycin.svg,svg,"Evidence-grade card for Rapamycin (Sirolimus). Overall grade A. Per-outcome — Mammalian lifespan extension (animal): A; Human longevity / healthspan: F; Immunosuppression (approved): A; Autophagy / cellular ""repair mode"": B; Safety (longevity dosing): C. Based on 4 cited sources, 2 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
rapamycin,structure,images/structures/rapamycin.svg,svg,"2D chemical structure of Rapamycin (Sirolimus) (C51H79NO13), molecular weight 914.2 g/mol, 65 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
retatrutide,grade_card,images/grade-cards/retatrutide.svg,svg,"Evidence-grade card for Retatrutide. Overall grade B. Per-outcome — Weight loss (obesity): B; Type-2 diabetes glycemic control: B; Hepatic fat / energy expenditure (the glucagon arm): C; Safety / long-term: not graded. Based on 2 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
retatrutide,none,,,,CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,no image — identifier confidence 'none'; no confident structure to render
retinol,grade_card,images/grade-cards/retinol.svg,svg,"Evidence-grade card for Retinol (Vitamin A). Overall grade A. Per-outcome — Topical: fine wrinkles / photoaging appearance: A; Photoaging: skin texture, roughness, dermal remodeling: A; Hyperpigmentation appearance: B; Acne appearance / pore size: B; Comparative efficacy vs tretinoin (prescription retinoid): B; Formulation stability and delivery (mechanism-level): not graded; Safety (topical) and known side effects: not graded; Systemic exposure and cumulative vitamin A risk: not graded. Based on 11 cited sources, 8 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
retinol,structure,images/structures/retinol.svg,svg,"2D chemical structure of Retinol (Vitamin A) (C20H30O), molecular weight 286.5 g/mol, 21 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
selank,grade_card,images/grade-cards/selank.svg,svg,"Evidence-grade card for Selank. Overall grade B. Per-outcome — Generalized anxiety disorder (on-label in Russia): C; Anxiolytic mechanism (GABA / enkephalin / BDNF): B; Cognitive / nootropic (secondary): D; Immune / antiviral (tuftsin heritage): C; General ""stress / focus"" (biohacker use): D; Safety: not graded. Based on 4 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
selank,structure,images/structures/selank.svg,svg,"2D chemical structure of Selank (C33H57N11O9), molecular weight 751.9 g/mol, 53 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
semaglutide,grade_card,images/grade-cards/semaglutide.svg,svg,"Evidence-grade card for Semaglutide. Overall grade A. Per-outcome — Type-2 diabetes glycemic control: A; Chronic weight management (obesity): A; Cardiovascular risk reduction: A; Kidney (T2D + CKD): A; Safety: not graded. Based on 1 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
semaglutide,sequence_card,images/structures/semaglutide.svg,svg,"Data card for Semaglutide: peptide, molecular formula C187H291N45O59, 291 heavy atoms, molecular weight 4113.6 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (291 heavy atoms > 70) — schematic card, not a 2D depiction"
semax,grade_card,images/grade-cards/semax.svg,svg,"Evidence-grade card for Semax. Overall grade B. Per-outcome — Ischemic-stroke recovery (on-label in Russia): C; BDNF/NGF upregulation & neuroprotection (mechanism): B; Cognitive enhancement in healthy adults (the popular use): D; Optic-nerve disease: D; Antidepressant / anxiety / stress: D; Marketed ""limitless-style"" cognitive enhancement: F; Safety: not graded. Based on 5 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
semax,structure,images/structures/semax.svg,svg,"2D chemical structure of Semax (C37H51N9O10S), molecular weight 813.9 g/mol, 57 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
sermorelin,grade_card,images/grade-cards/sermorelin.svg,svg,"Evidence-grade card for Sermorelin. Overall grade B. Per-outcome — Pediatric GH deficiency / growth failure (former approved indication): B; GH-stimulation diagnostic testing (approved use): B; Raises GH / IGF-1 (physiologically): B; Adult anti-aging / body composition / sleep (the popular off-label use): C; Safety: not graded. Based on 3 cited sources, 0 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
sermorelin,sequence_card,images/structures/sermorelin.svg,svg,"Data card for Sermorelin: peptide, molecular formula C149H246N44O42S, 236 heavy atoms, molecular weight 3357.9 g/mol. Large peptide — 2D structure not shown.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,"large molecule (236 heavy atoms > 70) — schematic card, not a 2D depiction"
slu-pp-332,grade_card,images/grade-cards/slu-pp-332.svg,svg,"Evidence-grade card for SLU-PP-332 (ERR agonist / ""exercise mimetic""). Overall grade F. Per-outcome — Fat loss / anti-obesity (metabolic syndrome): F; Endurance / aerobic capacity: F; Mitochondrial biogenesis / cellular respiration: F; Cardiac / other (heart failure, muscle regen, kidney/aging): F; Human efficacy or safety (any use): F; Safety: not graded. Based on 5 cited sources, 1 DOI-verified.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — evidence-grade card rendered from the dataset grades,
slu-pp-332,structure,images/structures/slu-pp-332.svg,svg,"2D chemical structure of SLU-PP-332 (ERR agonist / ""exercise mimetic"") (C18H14N2O2), molecular weight 290.3 g/mol, 22 heavy atoms.",CC-BY-4.0,Vallydia Ingredient-Evidence Register (https://vallydia.com) — structure rendered with RDKit from a PubChem-resolved SMILES,
