slug,name,region,status,note
tirzepatide,Tirzepatide,EU,Approved / prescription,approved as Mounjaro (and Zepbound in the US; brand naming varies by market).
tranexamic-acid,Tranexamic Acid,INT,Lawful topical cosmetic ingredient,"Topical tranexamic acid is a lawful cosmetic ingredient, CosIng-listed in the EU (Regulation (EC) 1223/2009) and used in cosmetic brightening formulas (typically 2–5%). Separately, ORAL tranexamic acid is a regulated prescription medicine (antifibrinolytic) in the EU, UK, and US — a medical product outside the scope of this cosmetic register entry."
vip,VIP (Vasoactive Intestinal Peptide),US,Compounded (Rx) where lawful,"not an approved drug for CIRS or general use; historically available as a compounded nasal spray (503A) — but the FDA has moved to remove VIP from the compoundable list, clouding that route. The analog aviptadil has been investigational (ARDS/COVID), not generally approved."
vip,VIP (Vasoactive Intestinal Peptide),EU,not an approved consumer product,not an approved consumer product; investigational. Not a cosmetic.
vitamin-c,Vitamin C (L-Ascorbic Acid),EU,Lawful cosmetic ingredient (unrestricted),"Topical L-Ascorbic Acid and its derivatives (SAP, MAP, ascorbyl glucoside, 3-O-ethyl ascorbic acid, tetrahexyldecyl ascorbate, ascorbyl tetraisopalmitate) are lawful cosmetic ingredients in the EU under Regulation (EC) 1223/2009. CosIng-listed. No concentration ceiling. Consumer formulas typically use 5–20% for L-AA, 1–5% for stable derivatives. Not restricted under Annex III (unlike retinol per Regulation (EU) 2024/996)."
vitamin-c,Vitamin C (L-Ascorbic Acid),UK,Lawful cosmetic ingredient,UK Cosmetics Regulation (retained EU law post-Brexit) treats vitamin C the same as the EU.
vitamin-c,Vitamin C (L-Ascorbic Acid),US,Lawful cosmetic ingredient,Topical vitamin C is a lawful cosmetic ingredient in the US; widely used at 10–20% L-AA. Some markets treat certain derivatives (THDA) as quasi-drug ingredients (see INT note).
vitamin-c,Vitamin C (L-Ascorbic Acid),INT,Lawful cosmetic ingredient — some derivatives classified as quasi-drug in Asia,"In Japan and South Korea, tetrahexyldecyl ascorbate (THDA) is classified as a quasi-drug ingredient at 2–3% concentration (approved for whitening claims within regulated language). Broad cosmetic use worldwide."
wolverine-stack,"""Wolverine"" Stack (BPC-157 + TB-500)",US,neither component is approved,"neither component is approved; both are FDA Category 2, barred from compounding. The stack has no approved status and no combination safety data."
wolverine-stack,"""Wolverine"" Stack (BPC-157 + TB-500)",EU,Not FDA-approved (gray-market),not approved; research-chemical status; sold pre-blended or as separate vials.
