slug,name,source_index,source_text,doi,resolved,verified_title
squalane,Squalane,0,"Kim SK, Karadeniz F. Biological importance and applications of squalene and squalane. Adv Food Nutr Res. 2012; 65:223-33.",10.1016/b978-0-12-416003-3.00014-7,high,Biological Importance and Applications of Squalene and Squalane
squalane,Squalane,1,"Sethi A, Kaur T, Malhotra SK, Gambhir ML. Moisturizers: The Slippery Road. Indian J Dermatol. 2016; 61(3):279-87.",10.4103/0019-5154.182427,high,Moisturizers: The slippery road
squalane,Squalane,2,Pappas A. Epidermal surface lipids. Dermatoendocrinol. 2009; 1(2):72-76 (sebum squalene context).,10.4161/derm.1.2.7811,high,Epidermal surface lipids
squalane,Squalane,3,"Huang ZR, Lin YK, Fang JY. Biological and pharmacological activities of squalene and related compounds: potential uses in cosmetic dermatology. Molecules. 2009; 14(1):540-54.",10.3390/molecules14010540,high,Biological and Pharmacological Activities of Squalene and Related Compounds: Potential Uses in Cosmetic Dermatology
ss-31,SS-31 (Elamipretide),3,"Siegel MP, et al. Mitochondrial-targeted peptide rapidly improves mitochondrial energetics and skeletal-muscle performance in aged mice. Aging Cell. 2013; Campbell MD, et al. Free Radic Biol Med. 2019.",10.1111/acel.12102,high,Mitochondrial-targeted peptide rapidly improves mitochondrial energetics and skeletal muscle performance in aged mice
ss-31,SS-31 (Elamipretide),4,Elamipretide mechanistic review — first cardiolipin-directed mitochondrial therapeutic approved under accelerated approval. Drug Discov Ther. 2026.,10.5582/ddt.2025.01111,high,Elamipretide: The first cardiolipin-directed mitochondrial therapeutic for Barth syndrome approved under accelerated approval
survodutide,Survodutide (BI 456906),2,"Sanyal AJ, et al. A Phase 2 randomized trial of survodutide in MASH and fibrosis. N Engl J Med. 2024;391:311–319.",10.1056/nejmoa2401755,high,A Phase 2 Randomized Trial of Survodutide in MASH and Fibrosis
syn-ake,Syn-Ake (Dipeptide Diaminobutyroyl Benzylamide Diacetate),0,"McArdle JJ, Lentz TL, Witzemann V, et al. Waglerin-1 selectively blocks the epsilon form of the muscle nicotinic acetylcholine receptor. J Pharmacol Exp Ther. 1999 (the toxin pharmacology behind it).",10.1016/s0022-3565(24)38167-4,high,Waglerin-1 Selectively Blocks the Epsilon Form of the Muscle Nicotinic Acetylcholine Receptor
syn-ake,Syn-Ake (Dipeptide Diaminobutyroyl Benzylamide Diacetate),2,"Debono J, et al. Viper venom botox: the molecular origin and evolution of the waglerin peptides used in anti-wrinkle skin cream. J Mol Evol (biomimetic origin).",10.1007/s00239-016-9764-6,high,Viper Venom Botox: The Molecular Origin and Evolution of the Waglerin Peptides Used in Anti-Wrinkle Skin Cream
tb-500,TB-500 (Thymosin Beta-4 fragment),0,"Goldstein AL, Hannappel E, Kleinman HK. Thymosin β4: actin-sequestering protein moonlights to repair injured tissues. (Tβ4 biology review.)",10.1016/j.molmed.2005.07.004,high,Thymosin β: actin-sequestering protein moonlights to repair injured tissues
tb-500,TB-500 (Thymosin Beta-4 fragment),3,Thymosin Beta-4 and TB-500 in tissue healing and musculoskeletal repair: a scoping review. Appl Sci. 2026.,10.20944/preprints202605.1124.v1,high,"Thymosin Beta-4 and TB-500 in Tissue Healing, Regeneration, and Musculoskeletal Repair: A Scoping Review"
tesofensine,Tesofensine,0,"Astrup A, et al. Effect of tesofensine on bodyweight loss, body composition, and quality of life in obese patients: a randomised, double-blind, placebo-controlled trial. Lancet 2008;372:1906-1913 (Phase 2; ~2× era's drugs; HR +~7 bpm).",10.1016/s0140-6736(08)61525-1,high,"Effect of tesofensine on bodyweight loss, body composition, and quality of life in obese patients: a randomised, double-blind, placebo-controlled trial"
tesofensine,Tesofensine,2,"Sjödin A, et al. The effect of the triple monoamine reuptake inhibitor tesofensine on energy metabolism and appetite… Int J Obes 2010 (↑energy expenditure + ↓appetite; mechanism ""unresolved"").",10.1038/ijo.2010.87,high,The effect of the triple monoamine reuptake inhibitor tesofensine on energy metabolism and appetite in overweight and moderately obese men
thymalin,Thymalin,0,"Morozov VG, Khavinson VKh — original Thymalin development (1981-1982); Natural and synthetic thymic peptides as therapeutics for immune dysfunction (Int J Immunopharmacol, 1998).",10.1016/s0192-0561(97)00058-1,high,Natural and synthetic thymic peptides as therapeutics for immune dysfunction
thymalin,Thymalin,2,"The Use of Thymalin for Immunocorrection and Molecular Aspects of Biological Activity (Biol Bull Rev, 2021) — KE/EW/EDP short peptides, gene-expression mechanism.",10.1134/s2079086421040046,high,The Use of Thymalin for Immunocorrection and Molecular Aspects of Biological Activity
thymalin,Thymalin,3,Peptide Drug Thymalin Regulates Immune Status in Severe COVID-19 Older Patients (2021).,10.1134/s2079057021040068,high,Peptide Drug Thymalin Regulates Immune Status in Severe COVID-19 Older Patients
tranexamic-acid,Tranexamic Acid,0,"Zhang L, Tan W-Q, Fang Q-Q, et al. Tranexamic Acid for Adults with Melasma: A Systematic Review and Meta-Analysis. BioMed Research International. 2018;2018:1683414.",10.1155/2018/1683414,high,Tranexamic Acid for Adults with Melasma: A Systematic Review and Meta-Analysis
tranexamic-acid,Tranexamic Acid,1,"Kim SJ, Park JY, Shibata T, Fujiwara R, Kang HY. Efficacy and possible mechanisms of topical tranexamic acid in melasma. Clin Exp Dermatol. 2016;41:480-485.",10.1111/ced.12835,high,Efficacy and possible mechanisms of topical tranexamic acid in melasma
tranexamic-acid,Tranexamic Acid,2,Maeda K. Mechanism of Action of Topical Tranexamic Acid in the Treatment of Melasma and Sun-Induced Skin Hyperpigmentation. Cosmetics. 2022;9:108.,10.3390/cosmetics9050108,high,Mechanism of Action of Topical Tranexamic Acid in the Treatment of Melasma and Sun-Induced Skin Hyperpigmentation
tranexamic-acid,Tranexamic Acid,3,"Forbat E, Al-Niaimi F, Ali FR. The emerging importance of tranexamic acid in dermatology. Clin Exp Dermatol. 2019;45:445-449.",10.1111/ced.14115,high,The emerging importance of tranexamic acid in dermatology
vip,VIP (Vasoactive Intestinal Peptide),0,"Hamnett R, et al. Vasoactive intestinal peptide controls the suprachiasmatic circadian clock network via ERK1/2 and DUSP4. Nat Commun. 2019 (circadian master-clock role).",10.1038/s41467-019-08427-3,high,Vasoactive intestinal peptide controls the suprachiasmatic circadian clock network via ERK1/2 and DUSP4 signalling
vip,VIP (Vasoactive Intestinal Peptide),1,"Smalley SG, Barrow PA, Foster N. Immunomodulation of innate immune responses by VIP: therapeutic potential in inflammatory disease. Clin Exp Immunol. 2009 (PMID 19604262).",10.1111/j.1365-2249.2009.03956.x,high,Immunomodulation of innate immune responses by vasoactive intestinal peptide (VIP): its therapeutic potential in inflammatory disease
vip,VIP (Vasoactive Intestinal Peptide),2,"Shoemaker RC, et al. VIP corrects chronic inflammatory response syndrome (CIRS) acquired following exposure to water-damaged buildings. Health. 2013 (open-label, 20 patients) — the primary CIRS reference; plus RNA-Seq (Med Res Arch 2016) and grey-matter-volume (Internal Medicine Review 2017). ⚠ Predominantly single-investigator, open-label, unreplicated.",10.4236/health.2013.53053,high,Vasoactive intestinal polypeptide (VIP) corrects chronic inflammatory response syndrome (CIRS) acquired following exposure to water-damaged buildings
vitamin-c,Vitamin C (L-Ascorbic Acid),0,"Humbert PG, Haftek M, Creidi P, et al. Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double-blind study vs. placebo. Exp Dermatol. 2003; 12(3):237-244.",10.1034/j.1600-0625.2003.00008.x,high,"Topical ascorbic acid on photoaged skin. Clinical, topographical and ultrastructural evaluation: double‐blind study vs. placebo"
vitamin-c,Vitamin C (L-Ascorbic Acid),1,Traikovich SS. Use of topical ascorbic acid and its effects on photodamaged skin topography. Arch Otolaryngol Head Neck Surg. 1999; 125(10):1091-1098.,10.1001/archotol.125.10.1091,high,Use of Topical Ascorbic Acid and Its Effects on Photodamaged Skin Topography
vitamin-c,Vitamin C (L-Ascorbic Acid),2,"Fitzpatrick RE, Rostan EF. Double-blind, half-face study comparing topical vitamin C and vehicle for rejuvenation of photodamage. Dermatol Surg. 2002; 28(3):231-236.",10.1046/j.1524-4725.2002.01129.x,high,"Double-Blind, Half-Face Study Comparing Topical Vitamin C and Vehicle for Rejuvenation of Photodamage"
vitamin-c,Vitamin C (L-Ascorbic Acid),4,"Correia G, Magina S. Efficacy of topical vitamin C in melasma and photoaging: A systematic review. J Cosmet Dermatol. 2023; 22(7):1938-1945. doi:10.1111/jocd.15748.",10.1111/jocd.15748,high,Efficacy of topical vitamin C in melasma and photoaging: A systematic review
vitamin-c,Vitamin C (L-Ascorbic Acid),6,"Systematic review of Vitamin C derivatives: Topical Vitamin C and Its Derivatives in Cosmetic Science: Stability, Efficacy, and Formulation Strategies. J Skin Sci Cosmetol. 2025.",10.5812/jssc-163798,high,"Topical Vitamin C and Its Derivatives in Cosmetic Science: Stability, Efficacy, and Formulation Strategies"
vitamin-c,Vitamin C (L-Ascorbic Acid),7,"Ismail T, Elsayed I, et al. Magnesium ascorbyl phosphate vesicular carriers for topical delivery; preparation, in-vitro and ex-vivo evaluation, factorial optimization and clinical assessment in melasma patients. Int J Nanomedicine. 2022 (PMC9040897).",10.1080/10717544.2022.2036872,high,"Magnesium ascorbyl phosphate vesicular carriers for topical delivery; preparation, in-vitro and ex-vivo evaluation, factorial optimization and clinical assessment in melasma patients"
vitamin-c,Vitamin C (L-Ascorbic Acid),8,"Reilly DM, Lozano J. Skin collagen through the lifestages: importance for skin health and beauty (l-ascorbic acid as collagen cofactor review). Plast Aesthet Res. 2021.",10.20517/2347-9264.2020.153,high,Skin collagen through the lifestages: importance for skin health and beauty
