slug,name,compound_class,outcome,grade,base,effect,caveat
dihexa,Dihexa (PNB-0408),peptide,HGF/c-Met mechanism,F,Original binding paper (Kd 65 pM) retracted 2025; some independent HGF/c-Met corroboration (Sun 2021),,"Best treated as an unproven working hypothesis, not established fact"
dihexa,Dihexa (PNB-0408),peptide,Clinical translation (via the lineage),F,The related drug fosgonimeton failed ACT-AD + LIFT-AD (no better than placebo),,The one clinical program on this pathway/lineage failed — a strong negative signal
dihexa,Dihexa (PNB-0408),peptide,Human efficacy or safety (Dihexa itself),F,None,,"No trials, no safety profile, very long duration → adverse effects not rapidly reversible"
dihexa,Dihexa (PNB-0408),peptide,Safety / oncologic risk,,Pathway-level concern,,"HGF/c-Met is a validated cancer-driver pathway; chronically potentiating it for enhancement is a real theoretical risk, unquantified in humans"
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),peptide,Delta / slow-wave EEG (animal),C,Monnier & Schoenenberger 1977 (rabbit),Increased delta activity,"The original finding; animal, and even here later work was mixed"
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),peptide,Chronic insomnia (human),C,Small 1980s studies (Schneider-Helmert) + Bes et al. 1992,"Mixed; some positive, but the strongest trial showed only weak effects","Human evidence is limited and contradictory — the ""sleep-inducing"" name overpromises"
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),peptide,"Opioid / alcohol withdrawal, stress, pain",D,"Older, small studies",Suggestive,Thin; not replicated to modern standards
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),peptide,Mechanism / receptor,,—,Unknown,No confirmed receptor; gene not identified; possible bacterial origin
dsip,DSIP (Delta Sleep-Inducing Peptide / Emideltide),peptide,Safety,,No modern human safety RCT,Unknown,Long-term safety not established
ectoin,Ectoin,small_molecule,Topical: barrier function / TEWL reduction,B,Multiple placebo-controlled clinical trials over 20+ years; consistent TEWL reductions of 15–72% depending on skin state and formulation,Measurable reduction in transepidermal water loss; barrier stabilisation,Effect size varies with vehicle and baseline barrier state; well-established but not head-to-head vs ceramide-based formulas in most trials
ectoin,Ectoin,small_molecule,Skin hydration,B,Controlled trials with 0.5–7% ectoin creams and lotions,Measurable increase in stratum corneum hydration; sustained over weeks of use,Effect works via osmolyte mechanism (water-shell around cells) rather than humectant (like HA)
ectoin,Ectoin,small_molecule,Redness and appearance of sensitive/reactive skin,B,Controlled trials showing measurable reduction in visible erythema and subjective irritation scores; use in sensitive-skin adjacent categories,Reduction in appearance of redness (~38% in some trials),Adjunct effect; not a treatment for underlying skin conditions
ectoin,Ectoin,small_molecule,"Atopic dermatitis (medical use, not cosmetic)",B,Multiple clinical trials with 5.5–7% ectoin cream (branded medical device products); comparable to low-potency corticosteroid in some studies,Improvement in SCORAD and symptoms,"Medical device territory in EU, not cosmetic; do not conflate medical claims with topical cosmetic serum framing"
ectoin,Ectoin,small_molecule,Protection against UV and pollution-induced skin stress,B,In-vitro on skin cells and controlled human studies with UV/pollution exposure models,Measurable protection of cell viability and reduction of oxidative markers,"Not a sunscreen; adjunct to UV protection, not replacement"
ectoin,Ectoin,small_molecule,Anti-wrinkle / collagen-building claims,D,Limited direct evidence; effect largely inferred from barrier/hydration benefits,"Modest at best, indirect",Ectoin protects and hydrates; it does not build collagen or replace retinol. Framing as an anti-aging hero is a marketing overstatement.
ectoin,Ectoin,small_molecule,"""Repairs the skin barrier"" lasting structural repair",D,Marketing claim,,"Repeated placebo-controlled trials and an independent systematic review test this exact endpoint, and the direction is right — transepidermal water loss falls, barrier function stabilises. It falls short of repair: the effect holds only while the product is applied, and no trial shows structural restoration persisting after use stops. The osmolyte water shell steadies the barrier; it does not rebuild it."
ectoin,Ectoin,small_molecule,Safety (topical),,Decades of cosmetic use; extensive tolerability data,Exceptionally well tolerated,"Hypoallergenic, pregnancy-friendly, no known conflicts with other cosmetic actives; suitable for infants and reactive skin"
eloralintide,Eloralintide,peptide,Weight loss / obesity,B,"Phase 2, Lancet 2025 (263 pts, 48 wk): up to 20.1% (−21.3 kg) vs 0.4% placebo; dose-dependent; Phase 1 ~11%/12 wk",,Standout Phase 2 — highest amylin-monotherapy weight loss reported — but not yet Phase 3-confirmed; predominantly female cohort (78%)
eloralintide,Eloralintide,peptide,Tolerability,A,"GI + fatigue AEs, dose-dependent; similar to placebo at; slower escalation helped",,Strong — but the highest-efficacy (highest-dose) arms had more AEs; escalation protocol matters
eloralintide,Eloralintide,peptide,Cardiometabolic risk factors,B,"Improvements in waist, BP, lipids, glycemia, inflammation",,Consistent secondary benefits; Phase 2 level
eloralintide,Eloralintide,peptide,Combination with tirzepatide,,Trial ongoing (LY3841136 + tirzepatide),,No combination efficacy data yet
eloralintide,Eloralintide,peptide,Safety,B,Phase 2 (263) + Phase 1,,No unexpected signals; investigational — Phase 3/long-term safety pending
epitalon,Epitalon (Epithalon),peptide,Telomerase upregulation / telomere elongation (in vitro),C,Human-cell studies — Khavinson 2003; a 2025 independent replication reported dose-dependent extension,Upregulation observed,Foundational data dominated by one group; the quantitative pathway was only recently tested independently
epitalon,Epitalon (Epithalon),peptide,Lifespan extension (animal),C,"Drosophila, mice/rats — largely the Khavinson/Anisimov group",Reported increase,Overwhelmingly single-group; independent replication limited
epitalon,Epitalon (Epithalon),peptide,Human longevity / mortality / age-markers,D,Older Russian human studies,Claimed benefit,Methodologically limited; not independently replicated to modern RCT standards
epitalon,Epitalon (Epithalon),peptide,Circadian rhythm / sleep / melatonin,D,Older Russian studies,Suggestive,"Weak, non-replicated"
epitalon,Epitalon (Epithalon),peptide,"Marketed ""reverses aging / turns back the cellular clock""",F,None rigorous,Not demonstrated,Telomerase-in-cells ≠ proven human longevity; the extrapolation is unsupported
epitalon,Epitalon (Epithalon),peptide,Safety & long-term,,No modern human safety data,Unknown,Telomerase activation carries a theoretical oncologic concern; long-term safety not established
exosomes,Exosomes,blend,Topical antioxidant / soothing / barrier support (plant-derived cosmetic exosomes),C,"Mechanistically plausible — plant-derived exosomes carry antioxidant, vitamin, and anti-inflammatory cargo and are good nano-delivery vehicles — but the supporting data is mostly in-vitro (lab cells) or animal, with only small early human work.","Plausible, modest antioxidant and soothing/barrier support as a supporting cosmetic ingredient","Most plant-exosome evidence is lab- or animal-based rather than human topical trials; benefits are modest and supportive, not transformative."
exosomes,Exosomes,blend,"Short-term skin-appearance benefits (exosomes broadly — hydration, elasticity, fine lines, pores, pigmentation)",C,"A 2026 systematic review pooling 19 human studies found short-term associations with improved hydration, elasticity, wrinkles, pores, and pigmentation.","Early, short-term associations reported","Most studies were not randomised, methods were heterogeneous, and follow-up was limited — the review framed the effects as early and not yet confirmed. Much of this signal comes from injected or in-office MSC (stem-cell) exosomes in clinical settings, which does not transfer to a plant exosome in a cosmetic cream."
exosomes,Exosomes,blend,"""Regenerative"" skin transformation from a topical (especially plant) exosome",D,No topical evidence; regenerative signalling is the claimed role of human/stem-cell exosomes used clinically (often injected).,Not supported for a plant/topical cosmetic,"Plant exosomes act via antioxidant delivery and soothing, not cellular regeneration. Any product implying a topical plant exosome will ""regenerate"" skin borrows from the human clinical/injected lane and overstates the evidence."
exosomes,Exosomes,blend,Established anti-ageing category (the field as a whole),D,A 2024 PRISMA systematic review of regenerative aesthetics (covering exosomes alongside stem cells and PDRN).,Not established,"Despite some well-designed trials, the review found a prevalent gap in molecular and clinical evidence and concluded the field lacks the scientific rigour and regulatory compliance to be considered established."
exosomes,Exosomes,blend,"Injected / clinical (MSC) exosome therapy — for context, NOT cosmetic scope",,"Human/stem-cell exosomes are studied in clinical and in-office (often injected or post-procedure) settings, where more of the exosome evidence sits.","A separate, regulated, clinical lane — not a cosmetic topical","As of 2025 the FDA had NOT approved any exosome product for therapeutic use outside clinical trials; human-derived exosomes trigger the HCT/P (human cells/tissues) framework, and injected use carries procedural risks. Out of scope for a cosmetic reference and not what a topical serum delivers."
exosomes,Exosomes,blend,"""FDA-approved"" regulatory status",F,Marketing claim,,"No exosome product is FDA-approved for therapeutic use outside clinical trials, and cosmetic ingredients have no FDA approval pathway at all, so there is no such approval to have been granted. Falling under the HCT/P framework is a regulatory classification, not an approval. This is a claim about regulatory status, not about skin — the human exosome data cited here measures skin appearance, not approval status."
follistatin,Follistatin (FST-344),protein,Muscle hypertrophy via myostatin inhibition (the biology),,"Transgenic + gene-therapy animals (20–40%, more in overexpression); Lee 2007",Dramatic muscle growth,This is the biology in transgenic / gene-therapy models — not injected protein in humans
follistatin,Follistatin (FST-344),protein,Injected follistatin protein → muscle in healthy humans (the marketed use),F,None,Not demonstrated,No human clinical evidence; the animal gains were transgenic / gene-therapy
follistatin,Follistatin (FST-344),protein,Gene therapy for muscular dystrophy / IBM,D,Phase 1/2 (Mendell),Modest,"Well tolerated locally, but modest; never became an approved therapy"
follistatin,Follistatin (FST-344),protein,Broader myostatin-inhibitor drug class,,Antibodies (MYO-029 etc.) + ACE-031,Largely failed,Antibodies: modest/no functional benefit; ACE-031 terminated on vascular safety
follistatin,Follistatin (FST-344),protein,Safety,,Preclinical + gene-therapy + mechanism,Real concerns,"Suppresses FSH/LH (reproductive); vascular risk (class); may lower bone density (GDF-11 block); muscle may outpace tendon; theoretical oncogenic concern; effects may not ""cycle off""; gray-market product often mislabelled/contaminated; WADA-banned"
fosgonimeton,Fosgonimeton (ATH-1017),small_molecule,Alzheimer's disease (the lead use),F,Phase 2/3 LIFT-AD: missed primary (GST) + key secondaries; ACT-AD Ph2 missed; earlier failures,,"Tested and failed at pivotal scale — cognition/function no better than placebo (P≈0.70). Not ""untested"" — clearly negative"
fosgonimeton,Fosgonimeton (ATH-1017),small_molecule,Parkinson's / Lewy-body dementia,F,"SHAPE cut 75→28 patients, missed primary; ""5-patient subgroup""",,"Underpowered, failed; subgroup grasping"
fosgonimeton,Fosgonimeton (ATH-1017),small_molecule,"Subgroup ""signals"" (APOE4, monotherapy, advanced disease)",D,Post-hoc / prespecified subgroups after failed primaries,,"Classic post-hoc rescue; hypothesis-generating at best, not evidence of efficacy"
fosgonimeton,Fosgonimeton (ATH-1017),small_molecule,HGF/MET mechanism (as biology),C,Real: MET signaling diminished in AD hippocampus; neuroprotective in models,,The biology is legitimate; it didn't translate to clinical benefit — the whole point
fosgonimeton,Fosgonimeton (ATH-1017),small_molecule,Safety,B,Phase 1–3 exposure,,"Consistently safe and well-tolerated — its failure was efficacy, not safety"
foxo4-dri,FOXO4-DRI,peptide,Senescent-cell clearance (senolysis),D,"Landmark Cell 2017 + repeated validation (Nat Commun 2025, etc.): selective apoptosis of senescent cells (reported 30–70% reduction across tissues)",,"Genuinely elegant, reproducible preclinical senolysis — one of the few peptides to cross from in-vitro to in-vivo — but still animal/cell only"
foxo4-dri,FOXO4-DRI,peptide,Healthspan / tissue-function restoration (aged mice),F,"Cell 2017: restored fur, kidney function, physical fitness; ~24.8% median-lifespan extension",,Striking mouse result; no human data at all
foxo4-dri,FOXO4-DRI,peptide,"Wound/keloid, testosterone (senescent Leydig cells), chemo-recovery",F,Comms Biol 2025; Aging 2020; Cell 2017 (doxorubicin recovery),,"Interesting mechanism-extensions, all preclinical"
foxo4-dri,FOXO4-DRI,peptide,Human efficacy or safety,F,None — no Phase 1 ever conducted,,The defining gap: human effects completely unknown
foxo4-dri,FOXO4-DRI,peptide,Mechanism / target engagement,B,"Co-IP, fluorescence, 2025 structural work confirm selective p53-FOXO4 disruption",,The biology is well-demonstrated and beautiful; that's not the same as a safe human drug
foxo4-dri,FOXO4-DRI,peptide,Safety,,"10-month mouse dosing ""no obvious side effects""",,Reassuring in mice — but it manipulates p53 systemically; long-term human oncologic/apoptotic consequences are unstudied
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,"Topical: appearance of photoaged skin (fine lines, firmness, density)",B,"Small human RCTs — Leyden 2002 (n=71), eye-cream (n=41), Badenhorst 2016 (nano-carrier vs Matrixyl 3000)",Measurable improvement,Small samples; effect generally smaller than prescription retinoids; highly formulation-dependent
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,Collagen/elastin synthesis & balanced MMP/TIMP remodeling,B,In-vitro fibroblast studies (Maquart 1988; Pickart),Stimulates synthesis; orderly turnover,In vitro; in-vivo relevance limited by skin penetration
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,Skin penetration of intact-skin serums,,Permeation study (Li 2015),Near-zero through intact stratum corneum,Key limitation; most benefit shown with enhanced delivery or penetration-optimised formulas
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,"Post-procedure wound healing (e.g., after laser resurfacing)",C,Small controlled trials + animal models,Faster healing / less irritation,Medicinal context — not a cosmetic-product claim
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,Hair growth / density,D,Mechanistic + small studies,Suggestive,Weak human evidence
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,"Systemic / injectable ""anti-aging / resets gene expression""",F,"In-vitro / bioinformatic (Connectivity Map, ~4,000 genes toward a ""younger"" profile)",Broad gene modulation in vitro,"Bioinformatic/in vitro only; no human systemic-efficacy trials; ""reverses aging"" is not demonstrated"
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,"""Rebuilds collagen"" dermal synthesis",D,Marketing claim,,"The human trials scored appearance endpoints — fine lines, firmness, the look of density — not dermal collagen; no biopsy or histology has measured collagen in skin after topical application. Synthesis of collagen and elastin was shown in fibroblast culture, and permeation through intact skin is near-zero."
ghk-cu,GHK-Cu (Copper Tripeptide-1),peptide,Safety (topical),,Widely used cosmetic; small trials,Well tolerated,Topical generally well tolerated (occasional mild redness); systemic/injectable human safety not established
ghrp-2,GHRP-2 (Pralmorelin),peptide,GH release (diagnostic),B,Approved diagnostic (Japan) + ~4 human trials (~170),Consistent dose-dependent GH elevation (peak 15–30 min),Real but narrow; diagnostic-focused; single company
ghrp-2,GHRP-2 (Pralmorelin),peptide,"GH-deficiency diagnostic testing (approved, Japan)",B,Kaken trials; accuracy competitive with the insulin-tolerance test,Reliable provocative test,Approved diagnostic use only
ghrp-2,GHRP-2 (Pralmorelin),peptide,Anti-aging / body composition (the popular use),F,None in humans,Not demonstrated,Untested for these goals
ghrp-2,GHRP-2 (Pralmorelin),peptide,Safety,,Diagnostic use + PK data,Characterised (short-term),Raises cortisol/prolactin (moderate) + appetite; long-term unknown; WADA-banned
ghrp-6,GHRP-6,peptide,GH release,B,Extensive characterisation (Bowers 1984 onward) + human PK,"Strong, dose-dependent GH pulse","Real, foundational pharmacology"
ghrp-6,GHRP-6,peptide,Appetite stimulation (cachexia / wasting research),C,Preclinical + Phase 1 observations,Strongest of any GHRP,"A feature for cachexia, a drawback for GH/fat-loss goals; preclinical as a therapy"
ghrp-6,GHRP-6,peptide,Anti-aging / body composition / muscle (the popular use),F,None in humans,Not demonstrated,Untested for these goals
ghrp-6,GHRP-6,peptide,Safety,,Research + PK data,Characterised (short-term),Strong hunger; raises cortisol (~15–20% transient) and prolactin; long-term unknown; WADA-banned
glutathione,Glutathione (GSH),peptide,Endogenous antioxidant / detox role,A,"Foundational, non-controversial cell biology",,Grades GSH's natural role — NOT proof that supplementation delivers cosmetic benefits
glutathione,Glutathione (GSH),peptide,Oral glutathione — skin lightening,C,"Some RCT/clinical data (often with vitamin C); modest, inconsistent; low bioavailability",,Mixed results; bioavailability doubts; effect (if any) is subtle and reversible
glutathione,Glutathione (GSH),peptide,Topical glutathione — pigmentation,C,Local depigmentation data,,Effect limited to application site; not systemic
glutathione,Glutathione (GSH),peptide,IV glutathione — skin lightening (the most popular use),F,No published trials proving efficacy; unapproved,,"Popular but essentially unproven; Philippine FDA: no evidence, no dosing standard"
glutathione,Glutathione (GSH),peptide,Anti-aging / wrinkles / elasticity,D,One oral study noted possible wrinkle/elasticity benefit + good tolerance,,Preliminary; not established
glutathione,Glutathione (GSH),peptide,Safety — oral/topical,B,GRAS; generally well-tolerated,,The reassuring part: oral/topical is broadly safe
glutathione,Glutathione (GSH),peptide,Safety — IV (the decisive warning),,Health-authority advisories,,"Renal/hepatic/thyroid dysfunction, nervous-system effects, Stevens-Johnson syndrome; infection risk (HIV/hepatitis) if non-sterile; IV+vitC → kidney-stone risk; theoretical skin-cancer risk (less eumelanin = less UV protection). Narrow effective-vs-toxic window"
hexarelin,Hexarelin (Examorelin),peptide,GH release,B,Most potent GHRP (~10× GHRP-6); human PK,"Strong, sustained GH pulse","Real, potent pharmacology; GH response desensitises with continuous use"
hexarelin,Hexarelin (Examorelin),peptide,"Cardioprotection (CD36, GH-independent)",C,"Preclinical (infarct ↓40–60%, LV function ↑, anti-fibrotic; CD36-KO abolishes it) + incomplete Phase 2","Genuine, mechanistically distinct",Preclinical / early; Phase 2 didn't complete; not an established therapy
hexarelin,Hexarelin (Examorelin),peptide,"Metabolic / ""fat-burning"" (CD36 / adipocyte)",C,Preclinical (Rodrigue-Way 2007),Mitochondrial biogenesis,Preclinical
hexarelin,Hexarelin (Examorelin),peptide,Anti-aging / body composition (the popular use),F,None in humans,Not demonstrated,Untested for these goals
hexarelin,Hexarelin (Examorelin),peptide,Safety,,Research + PK data,Characterised (short-term),Raises cortisol/prolactin; GH desensitisation; WADA-banned
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,Longevity biomarker (levels correlate with lifespan/health),C,"Multiple human observational/epidemiological datasets (USC, Barzilai): humanin ↓ with age, ↓ in AD/CAD, ↑ in centenarians + their offspring; correlates across mammalian species",,"This is the strongest human evidence — but it's a biomarker correlation, not proof that giving humanin helps. Human association studies are even called ""equivocal"" in some reviews. Biomarker ≠ drug"
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,Neuroprotection / Alzheimer's (the discovery context),F,"Rich preclinical: blocks amyloid-beta toxicity, prevents tau hyperphosphorylation, anti-apoptotic in neuron/animal models (mostly HNG)",,"Powerful mechanism, zero completed human trials; no RCT shows exogenous humanin prevents or treats AD. Founding story ≠ clinical proof"
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,Insulin sensitivity / metabolic,F,Rodent clamp studies (Muzumdar 2009 — central STAT3-mediated; HNGF6A analog lowered glucose in diabetic rats),,"Preclinical rodent only, small n; CNS-mediated mechanism; not shown in humans"
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,"Cardioprotection (ischemia, age-related fibrosis)",F,Animal: ischemia-reperfusion protection; 14-month HNG dosing prevented age-related myocardial fibrosis in aged mice,,Animal-only; native-vs-HNG gap applies
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,"""Anti-aging / healthspan"" (the popular use)",F,"Transgenic worms + multiple mammalian species (levels track lifespan); HNG improved healthspan markers, lowered inflammation in mice",,"The headline longevity-therapeutic claim is animal + biomarker, not human-interventional. This is what most buyers want — and it's unproven in people"
humanin,Humanin (HN / HNG / S14G-Humanin),peptide,Safety (exogenous administration in humans),,No completed human trials → no human safety dataset,,"Endogenous peptide (present in everyone), which is reassuring mechanistically, but injected exogenous safety/PK is simply not characterised in humans"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Topical: skin hydration (all molecular weights),A,Multiple placebo-controlled trials at 0.1% across MW range (50–2000 kDa); 2024 JCAD multi-weight formulation study; consistent effect across MW,Measurable immediate and sustained increase in skin hydration (corneometry); onset within 30 minutes,Effect is humectant and surface-focused; depth depends on molecular weight and formulation
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Fine lines and wrinkle appearance (LMW-HA 50–130 kDa),B,"Pavicic 2011 RCT (n=76, periocular, 60 days, 5 MW compared); LMW-HA showed significant wrinkle depth reduction",Visible reduction of wrinkle depth after 4–8 weeks with low-molecular- weight formulations,Effect smaller than retinoids or injectables; multi-weight formulations combine surface hydration with deeper penetration
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Skin elasticity and appearance of firmness,B,Pavicic 2011; multi-weight formulation trials,Measurable improvement over 30–60 days,"Modest effect; depends on formulation, MW, and delivery system"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Barrier function / TEWL reduction,B,Multiple controlled trials; multi-weight formulation studies,Reduction in transepidermal water loss,Effect modest; primarily via humectant film and superficial hydration
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Oral supplementation for skin hydration and wrinkles,B,2025 meta-analysis of 7 RCTs; Nature Scientific Reports 2025 RCT n=150 with 1.8 MDa sodium hyaluronate,"Statistically significant improvement in hydration, elasticity, and wrinkle depth",Outside cosmetic topical scope; not a claim for a topical serum; effect sizes modest
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,"Injectable dermal fillers (crosslinked HA, e.g. Restylane, Juvederm, Profhilo)",A,Decades of clinical use; multiple RCTs and systematic reviews,Immediate volume restoration; effect lasts months,"Medical device territory, not cosmetic; requires practitioner and falls outside 1223/2009 cosmetic scope"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,"""Holds 1,000 times its weight in water"" skin-hydration advantage",D,Marketing claim,,"The 1,000:1 ratio is a laboratory property of the raw polymer measured under ideal humidity, not a measurement made in skin. Human trials measured corneometry hydration, and it improves; none measured the ratio in skin, and none showed hydration scaling with it"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,"""Fills wrinkles from within"" needle-free filler equivalence",F,Marketing claim,,"Topical trials measured wrinkle depth and appearance improving through surface smoothing of hydrated upper layers. Volume restoration is documented only for crosslinked hyaluronic acid injected into the dermis, a separate medical-device category; no human study shows a topical reaching the dermis or adding volume from within"
hyaluronic-acid,Hyaluronic Acid (Sodium Hyaluronate),polysaccharide,Safety (topical),,Decades of widespread cosmetic use across all molecular weights,Very well tolerated,Occasional dryness in low-humidity environments if used without occlusive layer (humectant can pull water outward when air is dry)
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),protein,Muscle hypertrophy + hyperplasia via IGF-1R (the biology),,Cell culture + animal models,Anabolic; satellite-cell activation; new fibres,"The biology, in a dish and in animals — not injected LR3 in humans"
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),protein,IGF-1 LR3 for muscle building in humans (the marketed use),F,None,Not demonstrated,Zero human trials for any endpoint; it's a cell-culture reagent
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),protein,Hyperplasia in humans specifically,D,Debated,Uncertain,Established in vitro/animal; human extent at realistic doses is disputed
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),protein,Native IGF-1 (mecasermin) — pediatric IGF-1 deficiency,,FDA/EMA-approved,Improves growth velocity,"Native form, rare pediatric indication — not LR3, not muscle"
igf-1-lr3,IGF-1 LR3 (Long R3 IGF-1),protein,Safety,,Mecasermin record + IGF-1R pharmacology,Serious concerns,"Hypoglycemia (primary acute risk; with insulin → hospitalisations reported); tumour promotion — LR3 is engineered to evade the IGFBP system that normally reins IGF-1 in, an unstudied long-term oncogenic concern; acromegaly-like organ growth; insulin resistance; gray-market misfolding/endotoxin; WADA-banned"
ipamorelin,Ipamorelin,peptide,Selective GH release (no cortisol/prolactin) in humans,B,Raun 1998 + human PK studies,"Clean, selective GH pulse",Selectivity + GH release are genuine; this is not the same as clinical benefit
ipamorelin,Ipamorelin,peptide,Clinical efficacy (postoperative ileus — the only tested indication),D,"Phase 2 RCT (Beck 2014, n=87)",Failed primary endpoint,The single rigorous human trial did not work
ipamorelin,Ipamorelin,peptide,Anti-aging / fat loss / muscle (the popular use),F,None in humans,Not demonstrated,"Never tested in humans for these goals — ""selectivity is real, efficacy for body composition is untested"""
ipamorelin,Ipamorelin,peptide,Safety,,Well tolerated in the POI trials; no long-term data,Generally tolerated,No long-term human data; GH/IGF-1 elevation carries theoretical risks; WADA-banned
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,Stimulating the reproductive axis (LH/FSH release),B,"Robust, repeatedly demonstrated in humans (IV kisspeptin → rapid LH/FSH rise); genetics confirm necessity",,Well-established physiology in controlled settings; short-acting; response shows sexual dimorphism (differs by sex and menstrual-cycle phase)
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,IVF / egg-maturation triggering,B,Clinical trials: kisspeptin can trigger oocyte maturation with lower OHSS risk than standard hCG,,"Promising, actively developed; not yet a standard/approved trigger"
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,Hypoactive sexual desire disorder (HSDD) — arousal/attraction,C,"2 randomized placebo-controlled trials (JAMA Netw Open 2022/2023, 32 women + 32 men): modulated sexual-processing brain networks, ↑""sexy"" ratings, ↓aversion",,"Real RCT signal on brain processing + self-report — but early, small, mechanistic endpoints; not an approved HSDD drug"
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,Idiopathic hypogonadotropic hypogonadism / hypothalamic amenorrhea,C,Mechanistic + clinical studies restoring axis activity,,"Coherent, promising; still investigational"
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,"""PCT / natural-testosterone restart"" (the bodybuilding use)",F,Extrapolated from LH/FSH stimulation,,Not clinically established for this purpose; short half-life and pulsatility make casual self-use dubious
kisspeptin-10,Kisspeptin-10 (KP-10),peptide,Safety,,Controlled-setting trials,,Reported well-tolerated with no significant adverse events in trials; but off-protocol self-dosing of an upstream reproductive hormone is unstudied; product quality unverified
kojic-acid,Kojic Acid,small_molecule,"Hyperpigmentation / melasma (appearance, usually in combination)",C,"Deo 2013 randomized study — 1% kojic acid alone reduced melasma severity, with the combination against hydroquinone stronger",Gradual fading of melasma-related pigmentation,"Most efficacy data comes from 2–4%, above the EU 1% cap; often used in combination"
kojic-acid,Kojic Acid,small_molecule,"PIH (appearance, in combination serums)",C,Combination-serum evidence (kojic acid paired with tranexamic acid and niacinamide),Softening of post-inflammatory marks within a combination,"A combination result, not kojic acid alone"
kojic-acid,Kojic Acid,small_molecule,Tyrosinase inhibition (mechanism / in-vitro potency),B,"Saeedi 2022 review — among the most consistent tyrosinase inhibitors in comparative in-vitro work, acting by chelating the enzyme's copper cofactor","Strong, consistent enzyme inhibition in the lab","This grades the MECHANISM, not clinical proof; lab potency does not equal a cosmetic outcome"
kojic-acid,Kojic Acid,small_molecule,Standalone / EU-compliant-strength efficacy,C,EU Regulation 2024/996 caps kojic acid at 1%; most efficacy studies used 2–4%,Compliant products are milder than the studied strengths,Isolated standalone evidence at a 1% compliant strength is limited
kojic-acid,Kojic Acid,small_molecule,"""Whitening"" overall skin-tone lightening",D,Marketing claim,,"The human trials measured melasma severity and the fading of discrete spots and post-inflammatory marks — not a shift in baseline constitutive skin colour, which is what the whitening promise asserts. Evens the look of existing pigment; does not lighten the skin a person already has"
kojic-acid,Kojic Acid,small_molecule,Tolerability & stability,,Nakagawa 1995 — kojic acid is the brightener most associated with allergic contact dermatitis; it is also chemically unstable and photosensitising,Higher irritation and sensitisation risk than gentler brighteners,"A caution, not a benefit. Patch test; well-packaged (opaque, air-tight) products matter because it oxidises"
kpv,KPV,peptide,Anti-inflammatory / colitis / IBD (preclinical),C,Substantial preclinical (Dalmasso PepT1; Kannengiesser 2008 DSS/TNBS; Xiao 2017 nanoparticle),Reduces intestinal inflammation,"Strong, mechanistically well-characterised animal data — but no human trials"
kpv,KPV,peptide,PepT1 / NF-κB mechanism,,Dalmasso et al. + PepT1-knockout confirmation,"Genuine, receptor-independent",Established preclinically; not melanocortin-mediated
kpv,KPV,peptide,"Human use (IBD, dermatitis, gut healing — the marketed use)",F,None,Not demonstrated,Zero completed human RCTs in any indication
kpv,KPV,peptide,"Antimicrobial (S. aureus, C. albicans)",D,Preclinical,Suggestive,Lab/preclinical
kpv,KPV,peptide,Safety,,Preclinical + preliminary,Favourable so far,No melanocortin activity (so no pigmentation/appetite/BP effects); stable; but no human safety data
